area label,area code,Cumulative 1st dose,Cumulative 2nd dose,Cumulative confirmed cases,IMD: Overall - extent (%),IMD: Barriers to Housing and Services - proportion of LSOAs in most deprived 10% nationally,IMD: Crime - proportion of LSOAs in most deprived 10% nationally,IMD: Education Skills and Training Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Employment - proportion of LSOAs in most deprived 10% nationally,IMD: Health Deprivation and Disability - proportion of LSOAs in most deprived 10% nationally,IMD: Income Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Living Environment Deprivation - proportion of LSOAs in most deprived 10% nationally,Total population
Folkestone and Hythe,E07000112,80674.00,66952.00,9415.00,20.90,10.45,10.45,7.46,7.46,2.99,5.97,7.46,113320.00
Forest of Dean,E07000080,65934.00,54766.00,4325.00,4.20,12.00,0.00,6.00,2.00,0.00,2.00,16.00,87107.00
Fylde,E07000119,62390.00,54901.00,7207.00,7.70,1.96,0.00,0.00,7.84,7.84,1.96,9.80,81211.00
Gateshead,E08000037,140561.00,113717.00,21846.00,34.00,0.00,19.05,12.70,20.63,33.33,15.87,0.00,201950.00
Gedling,E07000173,84228.00,69834.00,11400.00,3.80,0.00,0.00,1.30,2.60,1.30,1.30,0.00,118239.00
Glasgow,S12000049,,,,,,,,,,,,635640.00
Gloucester,E07000081,89513.00,71033.00,9462.00,23.70,2.56,7.69,11.54,10.26,15.38,8.97,1.28,129709.00
Gloucestershire,E10000013,476461.00,389454.00,33833.00,7.70,8.85,1.61,6.17,2.95,3.75,2.95,5.09,640650.00
Gosport,E07000088,58889.00,48734.00,5042.00,16.90,0.00,9.43,18.87,1.89,0.00,0.00,5.66,84679.00
Gravesham,E07000109,68753.00,55143.00,12126.00,18.60,0.00,39.06,7.81,1.56,0.00,3.13,1.56,106890.00
Great Yarmouth,E07000145,72063.00,60440.00,7277.00,39.30,4.92,11.48,26.23,24.59,16.39,22.95,14.75,99198.00
Greenwich,E09000011,172048.00,127557.00,27564.00,20.20,29.80,9.27,0.00,1.99,0.66,5.96,3.31,289034.00
Guildford,E07000209,103202.00,80095.00,9412.00,1.20,9.52,0.00,2.38,0.00,0.00,0.00,2.38,150352.00
Gwynedd,W06000002,,,4285.00,,0,0,0,0,0,0,0,125171.00
Hackney,E09000012,158641.00,107026.00,27869.00,43.20,93.75,22.92,0.69,3.47,2.08,19.44,16.67,280941.00
Halton,E06000006,87697.00,74111.00,14700.00,46.80,0.00,13.92,17.72,36.71,45.57,29.11,7.59,129759.00
Hambleton,E07000164,71178.00,59936.00,6256.00,0.50,21.15,0.00,5.77,0.00,0.00,0.00,13.46,91932.00
Hammersmith and Fulham,E09000013,123405.00,86669.00,17774.00,16.40,7.08,6.19,0.00,1.77,0.88,7.08,14.16,183544.00
Hampshire,E10000014,1039025.00,860258.00,84722.00,4.90,7.69,3.37,5.65,0.60,0.60,0.60,3.73,1389206.00
Harborough,E07000131,70972.00,59864.00,6846.00,0.10,17.02,0.00,0.00,0.00,0.00,0.00,2.13,95537.00
Haringey,E09000014,162366.00,119242.00,25810.00,32.10,37.93,25.52,0.00,4.83,0.69,13.10,6.90,266357.00
Harlow,E07000073,57466.00,44986.00,9679.00,7.90,9.26,1.85,0.00,0.00,0.00,0.00,0.00,87280.00
Harrogate,E07000165,123321.00,103463.00,11161.00,1.30,16.35,0.00,0.00,0.96,0.96,0.96,8.65,161545.00
Harrow,E09000015,167403.00,133594.00,24943.00,2.70,27.74,0.00,0.00,0.00,0.00,0.00,0.00,252338.00
Hart,E07000089,74581.00,63787.00,5891.00,0.00,3.51,0.00,0.00,0.00,0.00,0.00,0.00,97608.00
Hartlepool,E06000001,63606.00,51586.00,12543.00,49.70,0.00,32.76,20.69,43.10,36.21,37.93,0.00,93836.00
Hastings,E07000062,61834.00,49326.00,7698.00,43.80,3.77,18.87,18.87,24.53,20.75,26.42,13.21,92554.00
Havant,E07000090,92000.00,77234.00,8792.00,25.50,2.56,15.38,28.21,5.13,3.85,3.85,0.00,126339.00
