,region name,IMD: Overall - extent (%),IMD: Barriers to Housing and Services,IMD: Crime,IMD: Education Skills and Training Deprivation,IMD: Employment,IMD: Health Deprivation and Disability,IMD: Income Deprivation,IMD: Living Environment Deprivation,mean age,median age,white british,multiple ethnic group,Black British,Other Ethnic Group,Asian British,hesitancy measure
East Staffordshire,West Midlands,16.1,5.56,1.39,6.94,2.78,2.78,2.78,22.22,39.8,40,0.7786890843013331,0.012283670078375733,0.00776170135279702,0.002830024051410839,0.0596657081509245,0.6223690520594661
Eastbourne,South East,18.2,6.56,6.56,9.84,11.48,1.64,4.92,0.0,42.8,43,0.8518113365786067,0.0163266422359569,0.007137778263961057,0.004877026016882714,0.025479042462032125,0.6584143045002923
Eastleigh,South East,1.4,0.0,0.0,2.6,0.0,0.0,0.0,0.0,40.1,41,0.8412784167650028,0.01236902341584088,0.0043007236589561685,0.004101681902839188,0.026586291709910857,0.6822509835224357
Eden,North West,0.5,27.78,0.0,0.0,0.0,0.0,0.0,50.0,44.1,46,0.9427638737758433,0.0038266231410953935,0.00039898440333696047,0.0007254261878853826,0.0052956111715632935,0.7343280866163224
Elmbridge,South East,0.2,4.94,0.0,1.23,0.0,0.0,0.0,0.0,39.8,40,0.744797717056417,0.02153517854437093,0.006376584675993737,0.007929693418859539,0.044667659982827415,0.6122604439761062
Enfield,London,29.4,60.66,3.83,0.55,1.64,0.0,13.11,2.73,35.9,34,0.5078582237131808,0.04585765259418793,0.1432788101509729,0.04286861861260785,0.09312175242792292,0.4921705024989471
Epping Forest,East of England,2.1,8.97,1.28,1.28,0.0,0.0,0.0,1.28,41.1,42,0.785016195883111,0.018452857789697328,0.01674619483821532,0.005677266552889137,0.04125248162725088,0.6127744232313008
Epsom and Ewell,South East,0.8,4.55,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40,0.7314107808381056,0.02183892373420598,0.012817016634851377,0.012112535224070539,0.07367512044359603,0.6373873359954364
Erewash,East Midlands,16.2,0.0,2.74,12.33,9.59,2.74,6.85,6.85,40.8,41,0.9242957447170228,0.010786963839445097,0.004556195916424406,0.0010880467860117985,0.011756005508236854,0.6832678992684443
Exeter,South West,8.5,0.0,1.35,5.41,0.0,4.05,0.0,12.16,38.1,35,0.7769546799497626,0.013751410264597568,0.0047328125110869855,0.006975044525335093,0.0326046079287027,0.6387488745684369
Fareham,South East,0.8,2.74,0.0,0.0,0.0,0.0,0.0,0.0,42.6,44,0.8951159201420582,0.011276698142954346,0.002962311432696616,0.0019831720795924126,0.013832417810378876,0.7239889675339781
