Title:,COVID-19 Vaccinations By Lower Tier Local Authority (LTLA) of Residence and Age Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary:,"The number of people who have been vaccinated for COVID-19, split by LTLA of residence and age group, as reported to the date of publication.",,,,,,,,,,,,,,,,,,,149952,,,,,,,,,,,,,,,,
"Period1,2:",8th December 2020 to 8th July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"National Immunisation Management Service (NIMS), NHS Foundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basis:,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,9th July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status:,Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions3:,"The data in this release includes all vaccinations administered in England, even if individuals vaccinated do not have an NHS number or are no longer resident in the population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTLA Code,UTLA Name,LTLA Cod,LTLA Name,1st dose,,,,,,,,,,,,,,Total 1st Doses,,2nd dose,,,,,,,,,,,,,,Total 2nd Doses,,Cumulative Total Doses (1st and 2nd doses) to Date
,,,,Under 25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,,,Under 25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,,,
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,18567,14154,16679,17944,18156,20700,24394,25447,21988,19222,20166,14777,20266,,252460,,5275,4770,6254,7700,11675,16695,23252,24479,21441,18849,19852,14499,19463,,194204,,446664
E10000007,Derbyshire,E07000034,Chesterfield,5645,4806,5211,5258,5309,6141,7252,7538,6713,5868,5916,4436,5819,,75912,,2241,2433,2376,2633,4706,5739,6967,7303,6594,5772,5817,4328,5558,,62467,,138379
E10000032,West Sussex,E07000225,Chichester,6394,4410,4896,5160,5671,6579,7990,8963,8495,7776,8582,6861,9888,,91665,,1759,1495,1892,2425,3920,5468,7737,8718,8359,7665,8468,6751,9559,,74216,,165881
E10000017,Lancashire,E07000118,Chorley,5607,4374,5496,6127,6330,7056,8266,8110,6999,6138,6736,4809,5731,,81779,,1875,1740,2407,3071,4494,5690,7912,7856,6857,6048,6648,4725,5532,,64855,,146634
E09000001,City of London,E09000001,City of London,413,717,719,590,470,460,492,473,380,339,317,205,252,,5827,,109,198,232,224,299,398,468,449,369,327,307,202,243,,3825,,9652
E10000012,Essex,E07000071,Colchester,11671,8426,10070,10329,10865,11223,12241,11571,9626,8363,9532,6887,9041,,129845,,3284,3075,3919,4661,6988,8985,11753,11204,9401,8230,9346,6728,8648,,96222,,226067
E10000006,Cumbria,E07000029,Copeland,4079,2937,3115,3277,3072,3763,4763,5415,4883,4210,4253,2986,3926,,50679,,1467,1297,1494,1696,1959,2868,4556,5236,4756,4120,4189,2931,3752,,40321,,91000
E06000052,Cornwall,E06000052,Cornwall,29812,20552,23887,25227,26782,30888,37749,40927,38716,36075,39351,29019,36703,,415688,,7733,6966,8588,10178,17508,24465,36227,39705,37861,35485,38774,28471,35313,,327274,,742962
E10000013,Gloucestershire,E07000079,Cotswold,4873,3423,3751,4203,4638,5499,6561,7140,6380,5872,6174,4780,6565,,69859,,1030,818,1272,1723,2985,4716,6323,6971,6267,5798,6116,4703,6364,,55086,,124945
E06000047,County Durham,E06000047,County Durham,32990,21352,23951,25671,25973,29078,36156,38023,34114,30215,30190,21564,27882,,377159,,8352,7418,9602,11587,17981,23798,34700,37015,33448,29817,29794,21193,26813,,291518,,668677
E08000026,Coventry,E08000026,Coventry,25786,15366,17918,18501,18171,17893,19729,18515,15794,13007,12374,9851,14123,,217028,,6681,5062,6906,8521,13963,15037,18418,17629,15253,12663,12101,9591,13475,,155300,,372328
E10000023,North Yorkshire,E07000163,Craven,3037,2007,2325,2409,2718,3183,4250,4473,4357,4016,4118,3145,4166,,44204,,1244,903,1269,1581,2150,2755,4093,4376,4279,3966,4059,3104,4023,,37802,,82006
